Epoch,Train Loss,Val Loss,L2 Loss,L2 Std,L2 Max Outlier
170,0.0001139,0.0004004,4.324,8.411,83.44
171,0.0001152,0.0003962,4.593,8.794,83.44
172,0.0001148,0.0003989,4.384,8.695,83.44
173,0.0001158,0.000402,4.571,8.84,83.44
174,0.0001138,0.0003963,4.624,8.59,83.44
175,0.0001182,0.0004016,4.847,10.19,83.44
176,0.0001143,0.0003985,4.398,8.779,84.85
177,0.0001181,0.0003953,4.967,10.97,84.85
178,0.0001133,0.000398,4.119,6.786,67.88
179,0.0001168,0.0003978,4.621,8.885,82.02
180,0.0001165,0.0003953,4.37,8.404,74.95
181,0.0001175,0.000395,3.963,6.689,73.54
182,0.0001118,0.0003996,4.101,8.166,82.02
183,0.000114,0.0003978,4.211,7.654,83.44
184,0.0001157,0.0003963,4.363,8.785,74.95
185,0.0001173,0.0003966,4.317,7.111,63.64
186,0.0001122,0.0003965,4.78,9.561,73.54
187,0.0001149,0.0004013,4.335,8.234,82.02
188,0.000114,0.0004021,4.451,9.299,83.44
189,0.0001112,0.0003994,4.126,7.329,76.37
190,0.0001147,0.000396,4.356,8.48,77.78
191,0.0001167,0.0003999,4.352,8.855,76.37
192,0.0001164,0.0004001,4.66,8.657,84.85
193,0.0001133,0.0003987,4.073,6.725,63.64
194,0.0001174,0.0003993,4.122,8.067,83.44
195,0.0001184,0.0004019,4.624,9.434,83.44
196,0.0001134,0.0004002,4.292,7.805,72.12
197,0.0001189,0.0003927,4.543,8.895,83.44
198,0.0001129,0.0003952,4.936,10,83.44
199,0.0001153,0.0003969,4.48,9.441,82.02
200,0.0001169,0.000399,4.982,10.18,77.78
201,0.0001135,0.0003957,4.228,7.753,76.37
202,0.0001113,0.0003979,4.49,8.537,79.2
203,0.0001138,0.000393,4.441,9.406,84.85
204,0.0001154,0.0003946,4.738,9.327,79.2
205,0.0001174,0.0004046,4.115,7.204,67.88
206,0.0001146,0.0003992,4.338,8.608,82.02
207,0.000117,0.0003985,4.529,8.734,76.37
208,0.0001117,0.0004004,4.183,7.162,57.98
209,0.000115,0.0003994,4.957,9.767,83.44
210,0.0001143,0.0003991,3.988,7.77,84.85
211,0.0001142,0.0003998,4.533,9.221,83.44
212,0.0001153,0.0004006,4.306,8.179,77.78
213,0.0001177,0.0003972,4.426,8.161,77.78
214,0.000112,0.0003985,4.02,7.667,74.95
215,0.0001131,0.0003983,4.501,8.844,83.44
216,0.0001147,0.0004051,4.115,7.642,73.54
217,0.0001144,0.0004008,4.26,8.112,82.02
218,0.0001133,0.0004039,3.999,6.444,65.05
219,0.000114,0.0004014,4.978,9.882,80.61
220,0.0001164,0.0003961,4.434,8.152,80.61
221,0.0001149,0.0003998,3.808,6.937,77.78
222,0.0001144,0.0004034,4.257,7.966,77.78
223,0.0001174,0.0003997,3.903,6.732,82.02
224,0.0001195,0.0004003,4.515,7.877,79.2
225,0.0001166,0.000399,4.501,8.29,80.61
226,0.0001161,0.0003929,4.186,7.194,74.95
227,0.0001121,0.0003977,4.67,9.104,76.37
228,0.0001138,0.0003995,4.172,7.907,82.02
229,0.0001136,0.0003983,4.653,9.403,83.44
230,0.0001164,0.0003938,4.282,8.331,82.02
231,0.0001164,0.0004013,4.716,9.382,79.2
232,0.000113,0.0004006,4.352,8.569,82.02
233,0.0001129,0.0003914,4.274,8.385,82.02
234,0.0001188,0.0003963,4.179,8.567,80.61
235,0.0001186,0.0003987,3.811,6.23,60.81
236,0.000117,0.0003992,4.172,7.623,84.85
237,0.0001159,0.0003997,4.073,7.421,72.12
238,0.0001158,0.0003997,4.377,8.395,83.44
239,0.0001137,0.0003945,4.536,8.252,69.3
240,0.0001148,0.0003952,4.805,9.717,84.85
241,0.000113,0.0003972,4.073,6.997,70.71
242,0.0001161,0.0004004,4.805,9.233,82.02
243,0.0001182,0.0003989,4.695,9.01,80.61
244,0.0001124,0.0003986,3.946,7.199,67.88
245,0.0001168,0.0003973,4.568,9.018,72.12
246,0.0001145,0.0004001,3.974,7.684,83.44
247,0.0001175,0.0004007,4.642,9.779,83.44
248,0.0001184,0.0004018,4.656,8.966,83.44
249,0.0001179,0.0003955,4.483,7.901,72.12
250,0.0001136,0.0003967,4.596,8.846,74.95
251,0.0001171,0.0004014,4.72,9.355,83.44
252,0.000116,0.0003985,4.278,8.071,74.95
253,0.0001147,0.0003992,3.772,6.001,66.47
254,0.0001137,0.0003968,4.13,8.401,83.44
255,0.0001118,0.0003951,3.953,7.063,76.37
256,0.0001138,0.0004014,4.324,7.574,67.88
257,0.0001152,0.0004054,3.808,5.979,53.74
258,0.0001153,0.0003994,4.147,8.248,83.44
259,0.0001152,0.0004004,4.78,9.622,73.54
260,0.0001158,0.0004,4.833,9.132,76.37
261,0.0001144,0.0003975,4.342,8.368,83.44
262,0.0001097,0.0003999,4.214,8.573,84.85
263,0.0001158,0.0003971,4.327,8.278,83.44
264,0.0001177,0.0004042,4.741,10.2,84.85
265,0.0001182,0.0003944,4.225,7.492,70.71
266,0.0001178,0.0003964,4.306,8.993,83.44
267,0.0001142,0.0004007,4.49,8.789,83.44
268,0.0001166,0.0004003,4.158,7.552,72.12
269,0.0001179,0.0003963,4.26,8.684,69.3
270,0.0001168,0.0003958,3.857,7.696,76.37
271,0.0001161,0.0003988,4.197,8.217,84.85
272,0.0001123,0.0004021,4.791,9.763,82.02
273,0.000116,0.0004035,4.419,8.699,69.3
274,0.0001169,0.0003955,4.349,8.272,83.44
275,0.0001157,0.0003998,4.274,7.464,70.71
276,0.0001128,0.0003961,4.37,8.222,79.2
277,0.0001144,0.0003984,4.002,6.425,57.98
278,0.0001178,0.0003964,4.076,7.515,67.88
279,0.0001166,0.0003973,4.002,6.784,77.78
280,0.0001148,0.0003938,4.296,8.235,80.61
281,0.0001154,0.0004002,4.971,9.26,77.78
282,0.0001173,0.0003981,3.847,6.399,80.61
283,0.0001159,0.0003985,4.455,9.509,80.61
284,0.0001145,0.0003965,4.31,7.77,67.88
285,0.0001121,0.0003989,4.529,8.071,70.71
286,0.0001148,0.0003994,4.525,9.001,83.44
287,0.0001161,0.0003917,3.917,6.921,76.37
288,0.0001132,0.0003991,4.278,7.822,83.44
289,0.0001107,0.0003977,4.695,9.505,82.02
290,0.0001146,0.0003937,4.327,8.71,83.44
291,0.0001135,0.0003964,4.381,8.466,83.44
292,0.0001184,0.0003954,4.292,8.029,83.44
293,0.0001143,0.0003969,4.907,10.16,83.44
294,0.0001143,0.0003944,4.236,7.64,79.2
295,0.0001176,0.0004003,3.9,7.318,69.3
296,0.0001166,0.0003996,4.501,8.27,66.47
297,0.0001148,0.0004012,4.582,7.87,69.3
298,0.0001121,0.0004027,4.335,7.475,83.44
299,0.0001137,0.0004015,4.342,7.645,67.88
300,0.000118,0.0003959,4.027,7.384,76.37
301,0.0001173,0.0003998,4.741,10.11,83.44
302,0.0001161,0.000398,4.292,8.8,83.44
303,0.0001172,0.0003984,4.525,9.061,79.2
304,0.0001148,0.0004003,4.19,8.536,83.44
305,0.000117,0.0003984,4.154,8.091,83.44
306,0.0001143,0.0003996,4.225,7.845,76.37
307,0.0001177,0.0003986,4.158,8.38,84.85
308,0.0001145,0.0003998,4.465,8.583,83.44
309,0.0001132,0.0004036,4.713,9.189,82.02
310,0.000115,0.0003948,3.49,5.932,77.78
311,0.0001157,0.0003997,4.115,7.115,83.44
312,0.0001163,0.0003963,4.289,8.272,83.44
313,0.0001154,0.000397,4.472,9.212,79.2
314,0.0001142,0.000399,4.653,9.194,83.44
315,0.0001157,0.000391,4.08,7.699,82.02
316,0.0001181,0.0003937,4.685,9.394,84.85
317,0.0001122,0.0004021,4.271,8.153,84.85
318,0.000119,0.0003964,4.349,7.809,72.12
319,0.000114,0.0003992,3.843,6.287,82.02
320,0.0001185,0.0003986,4.19,7.929,83.44
321,0.000115,0.0003983,4.26,8.552,83.44
322,0.000113,0.0004008,4.31,8.171,83.44
323,0.0001158,0.0003926,4.352,7.893,82.02
324,0.0001183,0.0004019,4.14,6.943,67.88
325,0.0001162,0.0003976,4.752,10.34,84.85
326,0.0001138,0.0004032,4.646,8.31,73.54
327,0.000115,0.0003967,3.741,6.092,67.88
328,0.0001159,0.0003967,4.437,7.99,77.78
329,0.0001197,0.0003957,4.154,7.882,83.44
330,0.0001181,0.0003983,4.564,9.845,83.44
331,0.0001172,0.0003973,4.303,8.071,83.44
332,0.0001183,0.0003991,4.278,7.971,79.2
333,0.0001164,0.0003985,4.381,7.509,80.61
334,0.0001172,0.0003982,4.296,7.835,79.2
335,0.0001134,0.0003985,4.207,8.985,87.68
336,0.0001149,0.000403,4.179,7.857,77.78
337,0.0001139,0.0003989,4.094,7.895,84.85
338,0.0001152,0.0003999,4.826,10.07,83.44
339,0.0001148,0.0003973,4.681,9.597,77.78
340,0.0001118,0.0003964,4.126,7.471,80.61
341,0.0001168,0.0003975,4.533,9.044,77.78
342,0.0001131,0.0004049,4.009,7.96,82.02
343,0.0001118,0.0004044,4.455,8.72,80.61
344,0.0001174,0.0003911,4.398,8.127,79.2
345,0.0001135,0.0003998,4.501,8.602,86.27
346,0.0001162,0.0003963,4.547,8.886,82.02
347,0.0001142,0.0003963,4.67,9.576,82.02
348,0.0001154,0.0003957,4.398,8.424,76.37
349,0.0001166,0.0003973,4.511,8.919,83.44
350,0.0001148,0.0003985,4.561,9.615,84.85
351,0.0001149,0.0003982,4.564,8.921,84.85
352,0.0001177,0.0003993,3.956,7.592,83.44
353,0.000115,0.0004026,4.624,9.798,80.61
354,0.0001141,0.0003998,4.066,7.871,84.85
355,0.0001112,0.0004036,4.883,9.758,82.02
356,0.0001133,0.0003979,4.564,8.358,74.95
357,0.0001164,0.0003922,4.299,8.053,74.95
358,0.0001156,0.0003936,4.808,9.489,77.78
359,0.0001187,0.0003996,4.391,8.383,77.78
360,0.0001139,0.0003967,4.752,9.483,82.02
361,0.0001161,0.0003928,4.342,8.298,74.95
362,0.0001149,0.0003988,3.772,5.824,73.54
363,0.0001155,0.0003965,4.702,9.31,82.02
364,0.0001147,0.0003986,4.179,8.053,82.02
365,0.0001143,0.0003953,4.936,10.17,82.02
366,0.0001146,0.0003926,4.31,8.207,79.2
367,0.0001181,0.000395,4.451,8.511,76.37
